fold_id,heldout_context,training_contexts,dataset,contrast,context_type,evaluation_role,module,available_genes,concordant_genes,concordance_fraction
GSE250463__Al_CPI_1uM_vs_Control,GSE250463::Al_CPI_1uM_vs_Control,GSE250463::Al_CPI_0.1uM_vs_Control; GSE42694::LC_L3_vs_LC_Control,GSE250463,LPS_Al_CPI_1uM_vs_LPS,lps_background,heldout_lps_background,C_Context_sensitive_residual,35,13,0.37142857142857144
GSE42694__LC_L3_vs_LC_Control,GSE42694::LC_L3_vs_LC_Control,GSE250463::Al_CPI_1uM_vs_Control; GSE250463::Al_CPI_0.1uM_vs_Control,GSE250463,LPS_ABF_vs_LPS,lps_background,heldout_lps_background,A_Myeloid_lineage_state,27,2,0.07407407407407407
GSE42694__LC_L3_vs_LC_Control,GSE42694::LC_L3_vs_LC_Control,GSE250463::Al_CPI_1uM_vs_Control; GSE250463::Al_CPI_0.1uM_vs_Control,GSE250463,LPS_ABF_vs_LPS,lps_background,heldout_lps_background,B_Proliferative_metabolic,19,14,0.7368421052631579
GSE42694__LC_L3_vs_LC_Control,GSE42694::LC_L3_vs_LC_Control,GSE250463::Al_CPI_1uM_vs_Control; GSE250463::Al_CPI_0.1uM_vs_Control,GSE250463,LPS_ABF_vs_LPS,lps_background,heldout_lps_background,C_Context_sensitive_residual,26,7,0.2692307692307692
GSE42694__LC_L3_vs_LC_Control,GSE42694::LC_L3_vs_LC_Control,GSE250463::Al_CPI_1uM_vs_Control; GSE250463::Al_CPI_0.1uM_vs_Control,GSE250463,LPS_Al_CPI_0.1uM_vs_LPS,lps_background,heldout_lps_background,A_Myeloid_lineage_state,27,20,0.7407407407407407
GSE42694__LC_L3_vs_LC_Control,GSE42694::LC_L3_vs_LC_Control,GSE250463::Al_CPI_1uM_vs_Control; GSE250463::Al_CPI_0.1uM_vs_Control,GSE250463,LPS_Al_CPI_0.1uM_vs_LPS,lps_background,heldout_lps_background,B_Proliferative_metabolic,19,16,0.8421052631578947
GSE42694__LC_L3_vs_LC_Control,GSE42694::LC_L3_vs_LC_Control,GSE250463::Al_CPI_1uM_vs_Control; GSE250463::Al_CPI_0.1uM_vs_Control,GSE250463,LPS_Al_CPI_0.1uM_vs_LPS,lps_background,heldout_lps_background,C_Context_sensitive_residual,26,15,0.5769230769230769
GSE42694__LC_L3_vs_LC_Control,GSE42694::LC_L3_vs_LC_Control,GSE250463::Al_CPI_1uM_vs_Control; GSE250463::Al_CPI_0.1uM_vs_Control,GSE250463,LPS_Al_CPI_1uM_vs_LPS,lps_background,heldout_lps_background,A_Myeloid_lineage_state,27,13,0.48148148148148145
GSE42694__LC_L3_vs_LC_Control,GSE42694::LC_L3_vs_LC_Control,GSE250463::Al_CPI_1uM_vs_Control; GSE250463::Al_CPI_0.1uM_vs_Control,GSE250463,LPS_Al_CPI_1uM_vs_LPS,lps_background,heldout_lps_background,B_Proliferative_metabolic,19,10,0.5263157894736842
GSE42694__LC_L3_vs_LC_Control,GSE42694::LC_L3_vs_LC_Control,GSE250463::Al_CPI_1uM_vs_Control; GSE250463::Al_CPI_0.1uM_vs_Control,GSE250463,LPS_Al_CPI_1uM_vs_LPS,lps_background,heldout_lps_background,C_Context_sensitive_residual,26,12,0.46153846153846156
GSE250463__Al_CPI_0.1uM_vs_Control,GSE250463::Al_CPI_0.1uM_vs_Control,GSE250463::Al_CPI_1uM_vs_Control; GSE42694::LC_L3_vs_LC_Control,GSE250463,Al_CPI_0.1uM_vs_Control,resting,heldout_resting,A_Myeloid_lineage_state,18,15,0.8333333333333334
GSE250463__Al_CPI_0.1uM_vs_Control,GSE250463::Al_CPI_0.1uM_vs_Control,GSE250463::Al_CPI_1uM_vs_Control; GSE42694::LC_L3_vs_LC_Control,GSE250463,Al_CPI_0.1uM_vs_Control,resting,heldout_resting,B_Proliferative_metabolic,19,8,0.42105263157894735
GSE250463__Al_CPI_0.1uM_vs_Control,GSE250463::Al_CPI_0.1uM_vs_Control,GSE250463::Al_CPI_1uM_vs_Control; GSE42694::LC_L3_vs_LC_Control,GSE250463,Al_CPI_0.1uM_vs_Control,resting,heldout_resting,C_Context_sensitive_residual,35,20,0.5714285714285714
GSE250463__Al_CPI_1uM_vs_Control,GSE250463::Al_CPI_1uM_vs_Control,GSE250463::Al_CPI_0.1uM_vs_Control; GSE42694::LC_L3_vs_LC_Control,GSE250463,Al_CPI_1uM_vs_Control,resting,heldout_resting,A_Myeloid_lineage_state,18,15,0.8333333333333334
GSE250463__Al_CPI_1uM_vs_Control,GSE250463::Al_CPI_1uM_vs_Control,GSE250463::Al_CPI_0.1uM_vs_Control; GSE42694::LC_L3_vs_LC_Control,GSE250463,Al_CPI_1uM_vs_Control,resting,heldout_resting,B_Proliferative_metabolic,19,7,0.3684210526315789
GSE250463__Al_CPI_1uM_vs_Control,GSE250463::Al_CPI_1uM_vs_Control,GSE250463::Al_CPI_0.1uM_vs_Control; GSE42694::LC_L3_vs_LC_Control,GSE250463,Al_CPI_1uM_vs_Control,resting,heldout_resting,C_Context_sensitive_residual,35,20,0.5714285714285714
GSE42694__LC_L3_vs_LC_Control,GSE42694::LC_L3_vs_LC_Control,GSE250463::Al_CPI_1uM_vs_Control; GSE250463::Al_CPI_0.1uM_vs_Control,GSE42694,LC_L3_vs_LC_Control,resting,heldout_resting,A_Myeloid_lineage_state,25,13,0.52
GSE42694__LC_L3_vs_LC_Control,GSE42694::LC_L3_vs_LC_Control,GSE250463::Al_CPI_1uM_vs_Control; GSE250463::Al_CPI_0.1uM_vs_Control,GSE42694,LC_L3_vs_LC_Control,resting,heldout_resting,B_Proliferative_metabolic,18,5,0.2777777777777778
GSE42694__LC_L3_vs_LC_Control,GSE42694::LC_L3_vs_LC_Control,GSE250463::Al_CPI_1uM_vs_Control; GSE250463::Al_CPI_0.1uM_vs_Control,GSE42694,LC_L3_vs_LC_Control,resting,heldout_resting,C_Context_sensitive_residual,27,12,0.4444444444444444
