cohort,coarse_group,mean,median,count
GSE155698_task36,dendritic_like,0.09544928626223224,0.07183956355187271,278
GSE155698_task36,macrophage_like,-0.3416699442920619,-0.3600229247661639,750
GSE155698_task36,monocyte_like,-0.3983813091574571,-0.41294460639812547,1376
GSE111672,dendritic_like,-0.3663038662019259,-0.4538831423169396,93
GSE111672,macrophage_like,-1.074994372330042,-1.208253311439798,49
GSE111672,monocyte_like,-1.5546538781595696,-1.527385547096285,38
