dataset,contrast,context_group,score,paired,n_case,n_control,case_mean,control_mean,delta_case_minus_control,p_value
GSE250463,LPS_ABF_vs_LPS,cross_helminth_lps_background,module_b_signed_score_z,True,6,6,-0.41622626896822856,-0.9892152834285136,0.572989014460285,0.03125
GSE250463,LPS_ABF_vs_LPS,cross_helminth_lps_background,module_c_signed_score_z,True,6,6,0.545718104839079,0.8497575763207429,-0.3040394714816639,0.03125
GSE250463,LPS_ABF_vs_LPS,cross_helminth_lps_background,up_arm_signed_score_z,True,6,6,-0.41622626896822856,-0.9892152834285136,0.572989014460285,0.03125
GSE250463,LPS_Al_CPI_0.1uM_vs_LPS,cross_helminth_lps_background,core_ev_signed_score_z,True,6,6,0.8532554023336504,0.5278993371168036,0.3253560652168468,0.21875
GSE250463,LPS_Al_CPI_0.1uM_vs_LPS,cross_helminth_lps_background,down_arm_signed_score_z,True,6,6,0.9516581746735949,0.8452117345244657,0.10644644014912918,0.21875
GSE250463,LPS_Al_CPI_0.1uM_vs_LPS,cross_helminth_lps_background,module_a_signed_score_z,True,6,6,0.9477655181382948,0.8321805956709628,0.11558492246733199,0.15625
GSE250463,LPS_Al_CPI_0.1uM_vs_LPS,cross_helminth_lps_background,module_b_signed_score_z,True,6,6,-0.8423676222643274,-0.9892152834285136,0.14684766116418624,0.21875
GSE250463,LPS_Al_CPI_0.1uM_vs_LPS,cross_helminth_lps_background,module_c_signed_score_z,True,6,6,0.93826633218643,0.8497575763207429,0.08850875586568707,0.3125
GSE250463,LPS_Al_CPI_0.1uM_vs_LPS,cross_helminth_lps_background,up_arm_signed_score_z,True,6,6,-0.8423676222643274,-0.9892152834285136,0.14684766116418624,0.21875
GSE250463,LPS_Al_CPI_1uM_vs_LPS,cross_helminth_lps_background,core_ev_signed_score_z,True,6,6,0.5363680255826155,0.5278993371168036,0.008468688465811947,1.0
GSE250463,LPS_Al_CPI_1uM_vs_LPS,cross_helminth_lps_background,down_arm_signed_score_z,True,6,6,0.8478028122241804,0.8452117345244657,0.0025910776997146723,1.0
GSE250463,LPS_Al_CPI_1uM_vs_LPS,cross_helminth_lps_background,module_a_signed_score_z,True,6,6,0.8805098946051899,0.8321805956709628,0.048329298934227105,0.4375
